name,speed,range,rating,reviews,price,emi,extra_details
Sokudo Acute,70 km/Hr,150 km/charge,5.0,2,"Rs 1,11,889 * Onwards","EMI starts from ₹3,241",4-5 Hr
Warivo Nova,25 km/Hr,60 km/charge,4.0,1,"Rs 55,999 * Onwards","EMI starts from ₹1,606",N/A
Kinetic DX EV,80 km/Hr,102 km/charge,5.0,1,"Rs 1,11,499 * Onwards","EMI starts from ₹3,229",4 Hr
Lectrix NDuro,65 km/Hr,117 km/charge,4.4,9,"Rs 59,999 * Onwards","EMI starts from ₹1,735",N/A
Lectrix EV ZYRO,85 km/charge,N/A,4.0,1,"Rs 46,999 * Onwards","EMI starts from ₹1,349",N/A
Tunwal Mini Lithino,25 km/Hr,50-55 km/charge,4.4,8,"Rs 41,222 * Onwards","EMI starts from ₹1,196",7-8 Hr
Honda QC1,50 km/Hr,80 km/charge,4.1,7,"Rs 90,022 * Onwards","EMI starts from ₹2,603",6.5 Hr
Hero Electric Atria,25 km/Hr,85 km/charge,4.2,36,"Rs 77,690 * Onwards","EMI starts from ₹2,239",4-5 Hr
Tunwal Strom Advance 2,25 km/Hr,50-60 km/charge,5.0,1,"Rs 1,49,133 * Onwards","EMI starts from ₹4,309",4-5 Hr
Ozotec Flio,70 km/Hr,120 km/charge,3.1,2,"Rs 79,990 * Onwards","EMI starts from ₹2,313",6 Hr
ADMS Mantra,60 km/Hr,60-100 km/charge,4.3,10,"Rs 57,999 * Onwards","EMI starts from ₹1,671",4-8 Hr
Yo Electron DX,25 km/Hr,60 km/charge,3.0,1,"Rs 56,000 * Onwards","EMI starts from ₹1,606",10 Hr
Zelo Zoop,70 km/Hr,65-140 km/charge,4.4,13,"Rs 45,900 * Onwards","EMI starts from ₹1,314",3 Hr
Hero Electric Photon,45 km/Hr,90 km/charge,3.7,44,"Rs 1,10,891 * Onwards","EMI starts from ₹3,209",5 Hr
BattRE Electric LoEV,25 km/Hr,60-150 km/charge,4.1,21,"Rs 59,900 * Onwards","EMI starts from ₹1,732",2.5 Hr
Komaki SE,200 km/charge,4-5 Hr,4.6,8,"Rs 59,999 * Onwards","EMI starts from ₹1,735",N/A
Zelio Eeva Eco,60-90 km/charge,7-9 Hr,4.8,1,"Rs 49,500 * Onwards","EMI starts from ₹1,430",N/A
Zelio Legender Plus,80 km/charge,4-5 Hr,0.0,0,"Rs 60,073 * Onwards","EMI starts from ₹1,737",N/A
Ujaas eGo LA,75 km/charge,6-7 Hr,4.5,24,"Rs 39,880 * Onwards","EMI starts from ₹1,153",N/A
Zelio Legender,25 km/Hr,120 km/charge,3.8,1,"Rs 65,000 * Onwards","EMI starts from ₹1,863",N/A
Kinetic Green Zing,25 km/Hr,100 km/charge,4.1,24,"Rs 71,990 * Onwards","EMI starts from ₹2,088",3-4 Hr
Simple OneS,90 km/Hr,190 km/charge,4.2,1,"Rs 1,49,999 * Onwards","EMI starts from ₹4,337",N/A
Kinetic Green Zoom,40 km/Hr,100 km/charge,3.9,16,"Rs 71,531 * Onwards","EMI starts from ₹2,073",3-4 Hr
Komaki FAM 2.0,200 km/charge,3-4 Hr,0.0,0,"Rs 1,26,999 * Onwards","EMI starts from ₹3,662",N/A
Yakuza Viraj,25 km/Hr,55 km/charge,4.7,2,"Rs 38,420 * Onwards","EMI starts from ₹1,106",6-8 Hr
Yakuza Sparrow,25 km/Hr,55 km/charge,0.0,0,"Rs 52,200 * Onwards","EMI starts from ₹1,516",6-8 Hr
Kyte Energy Magnum,45 km/Hr,70 km/charge,4.5,3,"Rs 64,360 * Onwards","EMI starts from ₹1,875",3-4 Hr
Komaki XGT KM,28 km/Hr,60-65 km/charge,4.1,20,"Rs 59,000 * Onwards","EMI starts from ₹1,703",4-5 Hr
Warivo Motors Nexa,25 km/Hr,50-100 km/charge,4.2,8,"Rs 58,300 * Onwards","EMI starts from ₹1,680",5-8 Hr
NIJ Automotive Accelero R14,24 km/Hr,180 km/charge,4.5,19,"Rs 49,731 * Onwards","EMI starts from ₹1,437",3-4 Hr
Deltic Drixx,25 km/Hr,100 km/charge,4.1,14,"Rs 64,990 * Onwards","EMI starts from ₹1,895",3-4 Hr
AMO Electric Jaunty,25 km/Hr,100 km/charge,4.6,39,"Rs 56,852 * Onwards","EMI starts from ₹1,634",6 Hr
Komaki X3,55 km/Hr,75-100 km/charge,4.0,4,"Rs 52,999 * Onwards","EMI starts from ₹1,542",3-4 Hr
BGauss RUV 350,75 km/Hr,145 km/charge,4.7,7,"Rs 1,19,990 * Onwards","EMI starts from ₹3,469",6.5 Hr
Zelio Little Gracy,25 km/Hr,55-60 km/charge,4.8,3,"Rs 49,500 * Onwards","EMI starts from ₹1,430",7-8 Hr
Zelio Gracy Pro,120 km/charge,7-9 Hr,0.0,0,"Rs 79,999 * Onwards","EMI starts from ₹2,313",N/A
Motovolt M7,60 km/Hr,73 km/charge,3.8,1,"Rs 74,999 * Onwards","EMI starts from ₹2,185",4.5-5 Hr
Joy e-bike Gen Next Nanu,46 km/Hr,90 km/charge,3.0,6,"Rs 53,999 * Onwards","EMI starts from ₹1,574",5-5.5 Hr
Sokudo Plus,50 km/Hr,105 km/charge,4.7,2,"Rs 61,889 * Onwards","EMI starts from ₹1,796",8-9 Hr
BattRE Electric Storie,65 km/Hr,103 km/charge,4.4,24,"Rs 99,999 * Onwards","EMI starts from ₹2,891",5.2 Hr
YUKIE Yuvee,25 km/Hr,55-60 km/charge,4.5,9,"Rs 44,385 * Onwards","EMI starts from ₹1,297",8-10 Hr
Komaki XGT X5,62 km/Hr,90-100 km/charge,5.0,5,"Rs 1,00,746 * Onwards","EMI starts from ₹2,915",4-5 Hr
Warivo Neo,25 km/Hr,60 km/charge,4.7,5,"Rs 39,999 * Onwards","EMI starts from ₹1,157",N/A
